Angle	Sin	Cos
0	0	256
1	4	256
2	9	256
3	13	256
4	18	255
5	22	255
6	27	255
7	31	254
8	36	254
9	40	253
10	44	252
11	49	251
12	53	250
13	58	249
14	62	248
15	66	247
16	71	246
17	75	245
18	79	243
19	83	242
20	88	241
21	92	239
22	96	237
23	100	236
24	104	234
25	108	232
26	112	230
27	116	228
28	120	226
29	124	224
30	128	222
31	132	219
32	136	217
33	139	215
34	143	212
35	147	210
36	150	207
37	154	204
38	158	202
39	161	199
40	165	196
41	168	193
42	171	190
43	175	187
44	178	184
45	181	181
46	184	178
47	187	175
48	190	171
49	193	168
50	196	165
51	199	161
52	202	158
53	204	154
54	207	150
55	210	147
56	212	143
57	215	139
58	217	136
59	219	132
60	222	128
61	224	124
62	226	120
63	228	116
64	230	112
65	232	108
66	234	104
67	236	100
68	237	96
69	239	92
70	241	88
71	242	83
72	243	79
73	245	75
74	246	71
75	247	66
76	248	62
77	249	58
78	250	53
79	251	49
80	252	44
81	253	40
82	254	36
83	254	31
84	255	27
85	255	22
86	255	18
87	256	13
88	256	9
89	256	4
90	256	0
91	256	-4
92	256	-9
93	256	-13
94	255	-18
95	255	-22
96	255	-27
97	254	-31
98	254	-36
99	253	-40
100	252	-44
101	251	-49
102	250	-53
103	249	-58
104	248	-62
105	247	-66
106	246	-71
107	245	-75
108	243	-79
109	242	-83
110	241	-88
111	239	-92
112	237	-96
113	236	-100
114	234	-104
115	232	-108
116	230	-112
117	228	-116
118	226	-120
119	224	-124
120	222	-128
121	219	-132
122	217	-136
123	215	-139
124	212	-143
125	210	-147
126	207	-150
127	204	-154
128	202	-158
129	199	-161
130	196	-165
131	193	-168
132	190	-171
133	187	-175
134	184	-178
135	181	-181
136	178	-184
137	175	-187
138	171	-190
139	168	-193
140	165	-196
141	161	-199
142	158	-202
143	154	-204
144	150	-207
145	147	-210
146	143	-212
147	139	-215
148	136	-217
149	132	-219
150	128	-222
151	124	-224
152	120	-226
153	116	-228
154	112	-230
155	108	-232
156	104	-234
157	100	-236
158	96	-237
159	92	-239
160	88	-241
161	83	-242
162	79	-243
163	75	-245
164	71	-246
165	66	-247
166	62	-248
167	58	-249
168	53	-250
169	49	-251
170	44	-252
171	40	-253
172	36	-254
173	31	-254
174	27	-255
175	22	-255
176	18	-255
177	13	-256
178	9	-256
179	4	-256
180	0	-256
181	-4	-256
182	-9	-256
183	-13	-256
184	-18	-255
185	-22	-255
186	-27	-255
187	-31	-254
188	-36	-254
189	-40	-253
190	-44	-252
191	-49	-251
192	-53	-250
193	-58	-249
194	-62	-248
195	-66	-247
196	-71	-246
197	-75	-245
198	-79	-243
199	-83	-242
200	-88	-241
201	-92	-239
202	-96	-237
203	-100	-236
204	-104	-234
205	-108	-232
206	-112	-230
207	-116	-228
208	-120	-226
209	-124	-224
210	-128	-222
211	-132	-219
212	-136	-217
213	-139	-215
214	-143	-212
215	-147	-210
216	-150	-207
217	-154	-204
218	-158	-202
219	-161	-199
220	-165	-196
221	-168	-193
222	-171	-190
223	-175	-187
224	-178	-184
225	-181	-181
226	-184	-178
227	-187	-175
228	-190	-171
229	-193	-168
230	-196	-165
231	-199	-161
232	-202	-158
233	-204	-154
234	-207	-150
235	-210	-147
236	-212	-143
237	-215	-139
238	-217	-136
239	-219	-132
240	-222	-128
241	-224	-124
242	-226	-120
243	-228	-116
244	-230	-112
245	-232	-108
246	-234	-104
247	-236	-100
248	-237	-96
249	-239	-92
250	-241	-88
251	-242	-83
252	-243	-79
253	-245	-75
254	-246	-71
255	-247	-66
256	-248	-62
257	-249	-58
258	-250	-53
259	-251	-49
260	-252	-44
261	-253	-40
262	-254	-36
263	-254	-31
264	-255	-27
265	-255	-22
266	-255	-18
267	-256	-13
268	-256	-9
269	-256	-4
270	-256	0
271	-256	4
272	-256	9
273	-256	13
274	-255	18
275	-255	22
276	-255	27
277	-254	31
278	-254	36
279	-253	40
280	-252	44
281	-251	49
282	-250	53
283	-249	58
284	-248	62
285	-247	66
286	-246	71
287	-245	75
288	-243	79
289	-242	83
290	-241	88
291	-239	92
292	-237	96
293	-236	100
294	-234	104
295	-232	108
296	-230	112
297	-228	116
298	-226	120
299	-224	124
300	-222	128
301	-219	132
302	-217	136
303	-215	139
304	-212	143
305	-210	147
306	-207	150
307	-204	154
308	-202	158
309	-199	161
310	-196	165
311	-193	168
312	-190	171
313	-187	175
314	-184	178
315	-181	181
316	-178	184
317	-175	187
318	-171	190
319	-168	193
320	-165	196
321	-161	199
322	-158	202
323	-154	204
324	-150	207
325	-147	210
326	-143	212
327	-139	215
328	-136	217
329	-132	219
330	-128	222
331	-124	224
332	-120	226
333	-116	228
334	-112	230
335	-108	232
336	-104	234
337	-100	236
338	-96	237
339	-92	239
340	-88	241
341	-83	242
342	-79	243
343	-75	245
344	-71	246
345	-66	247
346	-62	248
347	-58	249
348	-53	250
349	-49	251
350	-44	252
351	-40	253
352	-36	254
353	-31	254
354	-27	255
355	-22	255
356	-18	255
357	-13	256
358	-9	256
359	-4	256
360	0	256
