Angle	Sin	Cos
0	256	256
1	256	256
2	256	256
3	256	256
4	257	255
5	257	255
6	257	-262
7	258	254
8	259	254
9	259	253
10	260	252
11	261	251
12	262	250
13	263	249
14	264	248
15	265	247
16	266	246
17	268	245
18	269	243
19	271	242
20	272	241
21	274	239
22	276	237
23	278	236
24	280	234
25	282	232
26	285	230
27	287	228
28	290	226
29	293	224
30	296	222
31	299	219
32	302	217
33	305	215
34	309	212
35	313	210
36	316	207
37	321	204
38	325	202
39	329	199
40	334	196
41	339	193
42	344	190
43	350	187
44	356	184
45	362	181
46	369	178
47	375	175
48	383	171
49	390	168
50	398	165
51	407	161
52	416	158
53	425	154
54	436	150
55	446	147
56	458	143
57	470	139
58	483	136
59	497	132
60	512	128
61	528	124
62	545	120
63	564	116
64	584	112
65	606	108
66	629	104
67	655	100
68	683	96
69	714	92
70	748	88
71	786	83
72	828	79
73	876	75
74	929	71
75	989	66
76	"1,058"	62
77	"1,138"	58
78	"1,231"	53
79	"1,342"	49
80	"1,474"	44
81	"1,636"	40
82	"1,839"	36
83	"2,101"	31
84	"2,449"	27
85	"2,937"	22
86	"3,670"	18
87	"4,891"	13
88	"7,335"	9
89	"14,668"	4
90	#DIV/0!	0
91	"-14,668"	-4
92	"-7,335"	-9
93	"-4,891"	-13
94	"-3,670"	-18
95	"-2,937"	-22
96	"-2,449"	-27
97	"-2,101"	-31
98	"-1,839"	-36
99	"-1,636"	-40
100	"-1,474"	-44
101	"-1,342"	-49
102	"-1,231"	-53
103	"-1,138"	-58
104	"-1,058"	-62
105	-989	-66
106	-929	-71
107	-876	-75
108	-828	-79
109	-786	-83
110	-748	-88
111	-714	-92
112	-683	-96
113	-655	-100
114	-629	-104
115	-606	-108
116	-584	-112
117	-564	-116
118	-545	-120
119	-528	-124
120	-512	-128
121	-497	-132
122	-483	-136
123	-470	-139
124	-458	-143
125	-446	-147
126	-436	-150
127	-425	-154
128	-416	-158
129	-407	-161
130	-398	-165
131	-390	-168
132	-383	-171
133	-375	-175
134	-369	-178
135	-362	-181
136	-356	-184
137	-350	-187
138	-344	-190
139	-339	-193
140	-334	-196
141	-329	-199
142	-325	-202
143	-321	-204
144	-316	-207
145	-313	-210
146	-309	-212
147	-305	-215
148	-302	-217
149	-299	-219
150	-296	-222
151	-293	-224
152	-290	-226
153	-287	-228
154	-285	-230
155	-282	-232
156	-280	-234
157	-278	-236
158	-276	-237
159	-274	-239
160	-272	-241
161	-271	-242
162	-269	-243
163	-268	-245
164	-266	-246
165	-265	-247
166	-264	-248
167	-263	-249
168	-262	-250
169	-261	-251
170	-260	-252
171	-259	-253
172	-259	-254
173	-258	-254
174	-257	-255
175	-257	-255
176	-257	-255
177	-256	-256
178	-256	-256
179	-256	-256
180	-256	-256
181	-256	-256
182	-256	-256
183	-256	-256
184	-257	-255
185	-257	-255
186	-257	-255
187	-258	-254
188	-259	-254
189	-259	-253
190	-260	-252
191	-261	-251
192	-262	-250
193	-263	-249
194	-264	-248
195	-265	-247
196	-266	-246
197	-268	-245
198	-269	-243
199	-271	-242
200	-272	-241
201	-274	-239
202	-276	-237
203	-278	-236
204	-280	-234
205	-282	-232
206	-285	-230
207	-287	-228
208	-290	-226
209	-293	-224
210	-296	-222
211	-299	-219
212	-302	-217
213	-305	-215
214	-309	-212
215	-313	-210
216	-316	-207
217	-321	-204
218	-325	-202
219	-329	-199
220	-334	-196
221	-339	-193
222	-344	-190
223	-350	-187
224	-356	-184
225	-362	-181
226	-369	-178
227	-375	-175
228	-383	-171
229	-390	-168
230	-398	-165
231	-407	-161
232	-416	-158
233	-425	-154
234	-436	-150
235	-446	-147
236	-458	-143
237	-470	-139
238	-483	-136
239	-497	-132
240	-512	-128
241	-528	-124
242	-545	-120
243	-564	-116
244	-584	-112
245	-606	-108
246	-629	-104
247	-655	-100
248	-683	-96
249	-714	-92
250	-748	-88
251	-786	-83
252	-828	-79
253	-876	-75
254	-929	-71
255	-989	-66
256	"-1,058"	-62
257	"-1,138"	-58
258	"-1,231"	-53
259	"-1,342"	-49
260	"-1,474"	-44
261	"-1,636"	-40
262	"-1,839"	-36
263	"-2,101"	-31
264	"-2,449"	-27
265	"-2,937"	-22
266	"-3,670"	-18
267	"-4,891"	-13
268	"-7,335"	-9
269	"-14,668"	-4
270	########	0
271	"14,668"	4
272	"7,335"	9
273	"4,891"	13
274	"3,670"	18
275	"2,937"	22
276	"2,449"	27
277	"2,101"	31
278	"1,839"	36
279	"1,636"	40
280	"1,474"	44
281	"1,342"	49
282	"1,231"	53
283	"1,138"	58
284	"1,058"	62
285	989	66
286	929	71
287	876	75
288	828	79
289	786	83
290	748	88
291	714	92
292	683	96
293	655	100
294	629	104
295	606	108
296	584	112
297	564	116
298	545	120
299	528	124
300	512	128
301	497	132
302	483	136
303	470	139
304	458	143
305	446	147
306	436	150
307	425	154
308	416	158
309	407	161
310	398	165
311	390	168
312	383	171
313	375	175
314	369	178
315	362	181
316	356	184
317	350	187
318	344	190
319	339	193
320	334	196
321	329	199
322	325	202
323	321	204
324	316	207
325	313	210
326	309	212
327	305	215
328	302	217
329	299	219
330	296	222
331	293	224
332	290	226
333	287	228
334	285	230
335	282	232
336	280	234
337	278	236
338	276	237
339	274	239
340	272	241
341	271	242
342	269	243
343	268	245
344	266	246
345	265	247
346	264	248
347	263	249
348	262	250
349	261	251
350	260	252
351	259	253
352	259	254
353	258	254
354	257	255
355	257	255
356	257	255
357	256	256
358	256	256
359	256	256
360	256	256





		
